text,category,set,category_id,id
I am still waiting on my card?,card_arrival,train,0,0
What can I do if my card still hasn't arrived after 2 weeks?,card_arrival,train,0,1
I have been waiting over a week. Is the card still coming?,card_arrival,train,0,2
Can I track my card while it is in the process of delivery?,card_arrival,train,0,3
"How do I know if I will get my card, or if it is lost?",card_arrival,train,0,4
When did you send me my new card?,card_arrival,train,0,5
Do you have info about the card on delivery?,card_arrival,train,0,6
What do I do if I still have not received my new card?,card_arrival,train,0,7
Does the package with my card have tracking?,card_arrival,train,0,8
I ordered my card but it still isn't here,card_arrival,train,0,9
Why has my new card still not come?,card_arrival,train,0,10
"I still haven't received my card after two weeks, is it lost?",card_arrival,train,0,11
Can you track my card for me?,card_arrival,train,0,12
Is there a way to track the delivery of my card?,card_arrival,train,0,13
It's been a week since I ordered my card and it's not here. Please help?,card_arrival,train,0,14
Will I be able to track the card that was sent to me?,card_arrival,train,0,15
I don't have my card in 1 week.  Should I be worried?,card_arrival,train,0,16
How do I know when my new card is going to arrive?,card_arrival,train,0,17
My new card has not been delivered to my home yet. What is going on?,card_arrival,train,0,18
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,card_arrival,train,0,19
"On the card that is coming, what's the tracking info?",card_arrival,train,0,20
What is the status of my card's delivery?,card_arrival,train,0,21
Have you sent out my card yet?,card_arrival,train,0,22
My card isn't here yet.,card_arrival,train,0,23
where is my new card?,card_arrival,train,0,24
It's been a week since you sent my card and I still don't have it.,card_arrival,train,0,25
How do I track the card you sent me?,card_arrival,train,0,26
When will I recieve my new card?,card_arrival,train,0,27
When will I get my new card?,card_arrival,train,0,28
What is the expected delivery date for my card?,card_arrival,train,0,29
Is there a tracking number for the card you sent me?,card_arrival,train,0,30
I would like to track the card you sent to me.,card_arrival,train,0,31
Has my card been lost in delivery?,card_arrival,train,0,32
My new card hasn't came in.,card_arrival,train,0,33
Where is the card I ordered 2 weeks ago?,card_arrival,train,0,34
Can I get an update on my replacement card?,card_arrival,train,0,35
How long does it take for a new card to ship?,card_arrival,train,0,36
What's the tracking on the card you sent?,card_arrival,train,0,37
I haven't received my card and am worried it is lost.,card_arrival,train,0,38
My card still hasn't been delivered,card_arrival,train,0,39
I need to find out where the card is that I ordered.,card_arrival,train,0,40
Where is my credit card that was to be mailed?,card_arrival,train,0,41
I ordered my card but it hasn't been delivered yet,card_arrival,train,0,42
Am I able to track the card that was just sent to me?,card_arrival,train,0,43
Can you tell me why I haven't received my new card?,card_arrival,train,0,44
I'm still waiting for my new card.,card_arrival,train,0,45
Is my card lost? I am still waiting for it to be delivered.,card_arrival,train,0,46
Should I keep waiting for my card to be delivered?,card_arrival,train,0,47
Can I track when my card will be delivered?,card_arrival,train,0,48
How can I check on the status of my new card?,card_arrival,train,0,49
"A card has been sent to me, how do I track it?",card_arrival,train,0,50
Is there a way I can get my card expedited?,card_arrival,train,0,51
What can I do to track the card you sent me?,card_arrival,train,0,52
why hasnt my card come in yet?,card_arrival,train,0,53
How can I periodically check the delivery of the card you sent?,card_arrival,train,0,54
What's the reason my new card hasn't come?,card_arrival,train,0,55
How long does it take for me to get my new card?,card_arrival,train,0,56
I don't have my card after 1 week. What are my next steps?,card_arrival,train,0,57
I know I'm getting a new card but would like know when I can expect to receive it.,card_arrival,train,0,58
I want to find out what happened to my new card?,card_arrival,train,0,59
Was there a way for me to get tracking for that?,card_arrival,train,0,60
I am still waiting for my card.,card_arrival,train,0,61
My card hasn't arrived.,card_arrival,train,0,62
Can I track the card you sent to me?,card_arrival,train,0,63
I haven't gotten my new card.,card_arrival,train,0,64
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,card_arrival,train,0,65
Will I have to wait much longer for my new card to arrive?,card_arrival,train,0,66
how to track the card you sent,card_arrival,train,0,67
2 weeks ago I ordered my new card.  It isn't here.  What should I do?,card_arrival,train,0,68
How can I check on the delivery status of my card?,card_arrival,train,0,69
"My card has not been delivered yet and its been a week since I ordered it, please help",card_arrival,train,0,70
What's the expected wait time to recieve my new card?,card_arrival,train,0,71
How can I see the progress of delivery of the card that was sent?,card_arrival,train,0,72
"My card was supposed to arrive, but hasn't?",card_arrival,train,0,73
I ordered a card and would like to know how to track the delivery progress of it.,card_arrival,train,0,74
How long will it take for me to get my card?,card_arrival,train,0,75
My card hasn't shown up yet.,card_arrival,train,0,76
Does the card you sent have a tracking number?,card_arrival,train,0,77
My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,card_arrival,train,0,78
maximum how many days get the courier?,card_arrival,train,0,79
Is there a reason my new card hasn't arrived yet?,card_arrival,train,0,80
"I've been waiting a while for my card, is there a way to know when it will arrive?",card_arrival,train,0,81
How can I track my card's delivery?,card_arrival,train,0,82
Can I track the card that was just sent to me?,card_arrival,train,0,83
"If I ordered my new card last week, how much longer should I wait to receive it?",card_arrival,train,0,84
"What's go on, where is my new card?",card_arrival,train,0,85
Where is my new card if I haven't received it yet?,card_arrival,train,0,86
Where is my card?,card_arrival,train,0,87
Can you tell me why I haven't received my new card yet?,card_arrival,train,0,88
Is there a way to track my card?,card_arrival,train,0,89
Is there a way to track the new card you sent me?,card_arrival,train,0,90
I'm still waiting for my card.,card_arrival,train,0,91
What do I need to do to get my new card which I have requested 2 weeks ago?,card_arrival,train,0,92
WHAT IS THE SOLUTION OF THIS PROBLEM,card_arrival,train,0,93
Could I get tracking on the card?,card_arrival,train,0,94
Can you help me track my card?,card_arrival,train,0,95
Shouldn't my new card be here by now?,card_arrival,train,0,96
Is there a reason my new card hasn't arrived?,card_arrival,train,0,97
"I would like to track a card sent to me, how do I do that?",card_arrival,train,0,98
Is there a tracking number for the card?,card_arrival,train,0,99
can you share card tracking number?,card_arrival,train,0,100
"I have not received my card and it's been a week, what do I do?",card_arrival,train,0,101
Is there a way I can check on the card on route to me?,card_arrival,train,0,102
When will my new card arrive?,card_arrival,train,0,103
Why haven't I received my new card yet?,card_arrival,train,0,104
What is the expected delivery date of my card?,card_arrival,train,0,105
My card hasn't came in the mail yet?,card_arrival,train,0,106
I haven't received my card.,card_arrival,train,0,107
Is it possible for me to track the card is was mailed to me?,card_arrival,train,0,108
When will my new card be delivered?,card_arrival,train,0,109
I was issued a card about a week ago. why hasn't it come in yet?,card_arrival,train,0,110
Can you please tell me where my card is? I ordered it 2 weeks ago!,card_arrival,train,0,111
I still haven't received my card in the mail,card_arrival,train,0,112
I'm still waiting for my card that was issued a week ago. What should I do?,card_arrival,train,0,113
I still haven't gotten my new card.  When will it get here?,card_arrival,train,0,114
Do you have a tracking number for the card I was sent?,card_arrival,train,0,115
How do I track the card you sent to me?,card_arrival,train,0,116
Is my new bank card on the way and is there a way to track it?,card_arrival,train,0,117
Could you send me and up date on the arrival of my card?,card_arrival,train,0,118
How long does it take to recieve my new card?,card_arrival,train,0,119
My card has not come in the mail yet.,card_arrival,train,0,120
What's the card you sent me's tracking number?,card_arrival,train,0,121
i havent got my card,card_arrival,train,0,122
Why hasn't my card arrived yet?,card_arrival,train,0,123
I thought I would have received my new card at this point.,card_arrival,train,0,124
How long until my new card gets here?,card_arrival,train,0,125
How much longer until I get my new card?,card_arrival,train,0,126
Am I able to track a card that has already been sent?,card_arrival,train,0,127
Is it possible to track the card you sent me?,card_arrival,train,0,128
How long will it be to get this new card?,card_arrival,train,0,129
how can i track card you sent,card_arrival,train,0,130
Can the card was sen to me be tracked?,card_arrival,train,0,131
why have i not got my new card?,card_arrival,train,0,132
I need to track the card sent to me.,card_arrival,train,0,133
"It's been two weeks and I haven't gotten my card, what do I do?",card_arrival,train,0,134
I was expecting my new card by now.,card_arrival,train,0,135
Where is the tracking number for the card?,card_arrival,train,0,136
I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,card_arrival,train,0,137
Can I track the card that you sent me in the mail?,card_arrival,train,0,138
Can you tell me if I can track the card you sent me?,card_arrival,train,0,139
Why have I not gotten my new card?,card_arrival,train,0,140
I'm still waiting on my new card to be delivered!,card_arrival,train,0,141
My new card isn't here and it was issued a week ago.,card_arrival,train,0,142
"I was supposed to receive my new card by now, but it hasn't came in.",card_arrival,train,0,143
Is a tracking number available for the card that was just sent?,card_arrival,train,0,144
Why haven't I gotten my new card?,card_arrival,train,0,145
Was there a number to track that I could get?,card_arrival,train,0,146
How much longer is it going to take to get my new card?,card_arrival,train,0,147
I haven't gotten my credit card in the mail.,card_arrival,train,0,148
My card hasn't arrived yet. What do I do?,card_arrival,train,0,149
"My card still hasn't arrived after two weeks, now what?",card_arrival,train,0,150
My card appears to have never arrived?,card_arrival,train,0,151
My card never arrived.,card_arrival,train,0,152
My card has been found. Is there any way for me to put it back into the app?,card_linking,train,1,153
I was able to find my card. How to I go about putting it into my app?,card_linking,train,1,154
how do I get my card to show in the app?,card_linking,train,1,155
I just got my card.  It's not linked yet--how do I do that?,card_linking,train,1,156
"lost card found, want to put it back in app",card_linking,train,1,157
"I just got a card, how can I add it to the app?",card_linking,train,1,158
Is there any way to see my card in the app?,card_linking,train,1,159
If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,card_linking,train,1,160
I found my card. How can I put it into my app?,card_linking,train,1,161
How do I make my card show up in the app?,card_linking,train,1,162
Can you show me where to link the new card?,card_linking,train,1,163
I found my old card. Can I link it back into the app?,card_linking,train,1,164
"Show me how to link the new card,",card_linking,train,1,165
How do I add an existing card to the app?,card_linking,train,1,166
I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?,card_linking,train,1,167
How do I link one of your card that I already have?,card_linking,train,1,168
If I have a physical card can I link it?,card_linking,train,1,169
I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.,card_linking,train,1,170
Can I add a card that I just found (again) to the app?,card_linking,train,1,171
How can I make my card show up in the app?,card_linking,train,1,172
"I would like to re-activate my card, it was previously reported  lost but I found it this morning.",card_linking,train,1,173
"Okay, I found my card, can I put it back in the app?",card_linking,train,1,174
Can I reactivate a card?,card_linking,train,1,175
I would like to reactivate a card and wondered if that could be done?,card_linking,train,1,176
"I got my card now, how do I make it show up in the app?",card_linking,train,1,177
How do I link an existing card?,card_linking,train,1,178
How do I link a new card in the app?,card_linking,train,1,179
"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?",card_linking,train,1,180
I already have a card and want to link it,card_linking,train,1,181
Can you please reactivate my card?,card_linking,train,1,182
Where do I go to add a new card?,card_linking,train,1,183
I want my card I just received to show up in the app. How do I do that?,card_linking,train,1,184
"I received my card, how do I get it to show in the app?",card_linking,train,1,185
If I have a credit card with you how I get set up to link to it?,card_linking,train,1,186
How do I add my new card?,card_linking,train,1,187
"I want to reactivate my card, I thought I had lost it but found it again this morning.",card_linking,train,1,188
"I need a card reactivation, I had reported my card lost but I ran across it in my jacket.",card_linking,train,1,189
My card is no longer lost. How do I enter it back into the app?,card_linking,train,1,190
"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",card_linking,train,1,191
"May I reactivate my card? I previously reported it lost, but have now found it safe and sound.",card_linking,train,1,192
How do I reactivate a card I thought I lost?,card_linking,train,1,193
Help me figure out how to link the new card.,card_linking,train,1,194
I found my lost card. Am I still able to use it?,card_linking,train,1,195
Will I need a new card or can I put my old card back into the app?,card_linking,train,1,196
Is there a way to link the card i just got?,card_linking,train,1,197
How do I add a new card?,card_linking,train,1,198
"I want to reactivate my card, I found it after thinking it was lost.",card_linking,train,1,199
Can I put my old card back in the app?,card_linking,train,1,200
"I got a new card, how do I link it?",card_linking,train,1,201
I found the card I thought I lost this morning. Can I reactivate this card?,card_linking,train,1,202
How do i go about linking a new card?,card_linking,train,1,203
how do i get the card linked,card_linking,train,1,204
"I have one of your cards, but I don't know how to link it.",card_linking,train,1,205
how do I link an old card?,card_linking,train,1,206
I received my card. How do I link it to the app?,card_linking,train,1,207
"Now that I have my card, how do I connect it to the app?",card_linking,train,1,208
How do I add the card I just received to show up in the app?,card_linking,train,1,209
"I want to reactivate my card, I thought I had lost it but I found it.",card_linking,train,1,210
What do I need to do to link my new card for my account?,card_linking,train,1,211
Can I add a card to back into the app?,card_linking,train,1,212
I want to link my new card. Can you help?,card_linking,train,1,213
What is the process to link the new card?,card_linking,train,1,214
"I found my card, am I able to put it back into the app?",card_linking,train,1,215
"I have found my lost or stolen card, would I still have to activate the new card that was sent to me through the mail in order to access my account?",card_linking,train,1,216
Where can I link a new card?,card_linking,train,1,217
How do I add a card on to the app?,card_linking,train,1,218
"I found my card in my jacket this morning, so can I reactivate it?",card_linking,train,1,219
"I've obtained the card, how do I enable it on the app?",card_linking,train,1,220
I need to find the card I received in the app.,card_linking,train,1,221
How do I get my card on the app?,card_linking,train,1,222
"In the app, how can I make it show the new card that arrived?",card_linking,train,1,223
How do I link my new card?,card_linking,train,1,224
Can I activate a card in the app?,card_linking,train,1,225
"I want to link to my card card with you, how?",card_linking,train,1,226
I would like to link my card to my account.,card_linking,train,1,227
"I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card.",card_linking,train,1,228
How can I link the new card?,card_linking,train,1,229
I got a new card and can't find where to link it.,card_linking,train,1,230
"Hey, I have my card, how do I get it to show in the app?",card_linking,train,1,231
Where in the app do I go to make my new card show up?,card_linking,train,1,232
Where do I scan my card?,card_linking,train,1,233
Can I reactivate my card? I reported it lost and found it this morning in my jacket.,card_linking,train,1,234
Can I link my card I previously received?,card_linking,train,1,235
"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.",card_linking,train,1,236
"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.",card_linking,train,1,237
You sent me a card and now I want to link it.,card_linking,train,1,238
How do I add my new card to the app?,card_linking,train,1,239
Can I add a card back to the app?,card_linking,train,1,240
What if I want to add a card I already have to the app?,card_linking,train,1,241
"I recently reported my card as missing/lost, and I just found it. Can I still use it?",card_linking,train,1,242
"Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket.",card_linking,train,1,243
Is there a way to link cards if I have one of yours?,card_linking,train,1,244
If my card was lost or stolen can I re-link it?,card_linking,train,1,245
